rainfall,temperature,soil_moisture,soil_pH,nitrogen,phosphorus,potassium,irrigation,crop_area,fertilizer,pesticide,sunlight,humidity,altitude,wind_speed,groundwater,crop_diversity,mechanization,yield_variance,avg_yield
1224.98,18.16,29.65,6.3,101.05,75.41,91.34,79.07,328.69,22.4,9.04,6.78,67.49,2427.2,34.57,56,0.56,11.55,8.37,6.68
1753.72,20.6,67.12,4.7,19.86,137.7,93.02,69.09,18.01,182.08,26.58,9.99,81.95,523.96,2.43,82.74,0.05,35.39,4.7,1.33
1622.87,32.05,70.29,7.1,93.53,81.65,89.53,76.43,76.57,234.82,43.28,5.33,73.76,652.79,33.4,64.33,0.21,35.93,7.34,5.86
1715.32,31.88,48.39,7.66,99.64,109.02,28.3,81.22,396.57,121.5,38.4,8.72,64.19,11.4,29.31,16.71,0.49,54.67,8.83,4.38
680.68,27.83,37.39,5.33,130.61,98.28,32.77,62.05,42.99,104.95,33.96,10.59,88.28,1750.26,12.04,58.87,0.07,18.72,0.79,3.58
471.04,35.43,64.32,6.08,63.44,18.71,135.66,72.88,382.8,257.85,21.98,5.89,45.46,2992.2,8.86,12.11,0.16,61.34,4.31,3.13
1443.1,29.74,54.09,7.58,130.62,39.64,137.95,34.87,72.83,249.4,46.29,6.85,83.96,2825.88,36.08,44.28,0.86,23.07,5.15,7.21
1436.64,32.2,18.71,5.31,89.19,27.91,33.21,60.97,151.77,112.69,35.43,8.12,86.03,1995.49,22.25,57.76,0.3,11.52,7.82,8.16
1960.12,31.73,69.79,6.79,21.82,94.35,51.39,68.61,354.85,275.04,39.42,10.14,77.9,529.03,33.62,9.35,0.29,66.93,8.85,7.45
919.09,36.88,48.43,5.87,98.67,75.8,44.44,25.2,164.19,117.58,18.88,6.76,27.7,926.1,0.35,14.04,0.81,71.45,7.92,7.48
360.7,35.55,32.46,5.74,44.8,114.91,147.13,99.65,449.19,171.21,37.51,11.67,36.3,541.5,33.99,55.94,0.26,26.92,7.72,3.86
871.56,29.96,46.81,7.95,109.05,42.51,56.86,62.89,46.6,219.53,39.74,5.62,62.51,1937.39,31.12,85.06,0.81,16.95,5.73,5.26
1872.47,14.43,52.34,6.56,101.01,74.94,94.09,10.98,293.58,187.42,4.68,7.74,85.02,1307.19,43.76,10.19,0.25,84.27,6.37,7.24
334.16,12.23,77.27,4.19,84.64,92.48,28.44,21.01,217.08,273.69,48.54,7.54,74.02,616.61,9.19,59.31,0.71,0.61,0.96,8.49
1952.81,24.77,24.31,8.91,23.81,117.99,62.22,27.38,145.36,256.73,43.13,9.24,63.08,1830.68,43.12,32.63,0.65,8.37,4.66,2.18
1255.47,18.15,10.77,5.18,52.83,69.9,10.31,58.36,55.32,284.7,17.33,7.41,41.02,2275.19,46.22,12.28,0.62,25.45,5.91,6.11
848.83,35.84,16.52,5.92,89.92,130.59,91.04,46.02,202.5,39.9,22.87,10.42,61.26,846.55,29.37,3.71,0.11,78.31,0.03,5.75
368.99,15.57,58.75,5.15,133.5,104.93,114.96,81.38,195.27,240.85,36.99,6.76,20.42,1429.8,31.2,87.94,0.9,90.12,0.52,3.19
1166.13,31.82,28.47,5.22,82.81,94.45,123.47,51.38,38.21,257.03,45.31,5.22,32.12,2750.24,34.15,10.66,0.75,79.56,5.72,1.96
302.58,21.49,53.46,8.07,33.18,55.77,113.36,10.96,152.07,111.37,9.73,9.49,58.17,468.57,13.3,80.22,0.36,6.31,3.85,3.47
1709.72,31.6,69.23,7.74,114.29,27.2,138.33,71.92,489.31,257.16,40.8,6.94,55.02,1621.95,48.54,3.56,0.86,44.01,5.79,9
926.54,18.06,34.9,6.34,49.37,107.2,54.84,43.03,464.84,88.19,49.66,7.35,35.09,807.03,24.72,73.31,0.62,11.91,5.42,6.24
996.13,22.02,66.1,6.34,12.16,16.55,48.81,30.06,384.55,32.26,24.44,11.37,29.13,894.88,21.26,32.21,0.62,83.58,7.27,2.36
1063.33,37.15,59.6,5.12,113.16,31.18,29.19,34.26,224,104.73,48.28,11.56,84.84,577.24,42.59,96.52,0.99,52.63,4.64,2.13
904.2,17.48,23.41,4.89,44.25,43.09,108.39,66.35,318,139.36,39.8,11.93,64.11,742.5,4.41,57.42,0.7,71.44,8.93,3.62
1286.57,15.8,36.13,5.19,44.01,54.95,28.78,21.53,230.24,83.14,18.8,5.64,59.01,2781.1,1.86,20.27,0.92,42.2,3.94,1.67
597.16,15.21,33.2,5.96,83.21,113.76,149.09,17.62,234.58,22.81,19.18,8.95,63.1,1602.92,27.78,77.5,0.63,26.91,7.23,2.51
463.66,36.29,28.11,6.69,118.97,146.97,114.98,81.4,302.82,153.75,33.64,11.52,78.21,307.77,9.79,74.73,0.69,15.44,6.19,7.72
1117.61,39.37,49.81,7.63,115.84,87.54,110.67,25.52,410.38,270.69,18.61,7.52,92.3,520.86,46.09,25.25,0.47,74.92,2.74,6.74
1946.04,28.22,74.49,5.92,85.83,45.04,122.95,57.88,124.7,230.71,8.06,9.44,56.65,87.39,18.36,17.94,0.84,18.09,5.62,4.31
1943.89,16.02,13.04,6.27,32.42,41.8,26.58,46.2,237.49,63.64,1.12,11.39,73.89,2811.16,9.63,19.66,0.64,91.78,5.24,3.66
900.3,36.35,47.48,5.78,138.43,38.04,75.05,79.5,355.36,275.71,33.6,10.53,70.12,2356.53,18.42,5.56,0.96,7.44,2.82,5.03
1660.99,23.17,43.43,5.95,35.29,100.65,19.51,24.16,311.72,193.53,25.24,11.64,57.64,1376.77,4.44,13.49,0.83,28.89,7,5.65
419.96,20.18,72.25,8.06,148.17,124.89,126.41,23.48,227.83,209.6,39.03,5.83,91.41,2831.34,40.37,52.8,0.8,29.49,0.47,7.53
784.8,18.85,19.29,4.62,60.21,90.92,108.5,36.37,259.55,255.7,18.32,5.05,80.95,1562.51,17.76,5.72,0.84,15.44,1.54,2.89
1851.1,36.55,71.02,5.78,102.38,48.71,10.93,39.94,212.9,136.63,37.44,6.35,68.21,359.32,6.7,43.09,0.7,93.94,7.93,7.48
686.81,14.65,42.71,6.74,33.7,107.97,98.89,17.79,247.64,255.26,43.82,11.25,49.16,1669.84,2.03,85.22,0.09,35.47,5.06,2.82
821.07,30.25,34.83,8.12,112.11,46.57,143.89,72.94,377.69,87.95,23.23,6.81,61.62,2308.59,0.93,79.38,0.83,61.43,5.24,6.25
854.62,19.71,58.91,6.47,22.83,55.79,79.75,10.56,25.36,93.24,28.51,8.65,93.54,2256.86,43.89,85.79,0.91,26.34,7.18,5.91
295,31.09,75.56,8.93,50.43,141.57,145.25,26.04,87.84,180.34,19.14,11.7,63.93,121.26,0.45,43.71,0.95,62.92,3.94,9.04
1911.96,10.52,68,7.96,118.5,90.5,52.56,86.83,84.69,75.87,9.2,9.54,71.72,1177.23,31.86,67.71,0.4,33.07,0.51,8.72
1715.51,33.78,38.21,6.88,28.52,61.82,36.45,66.02,243.69,199.27,28.62,5.63,48.65,82.81,38,19.34,0.66,3.03,0.02,6.58
848.13,16.61,35.53,4.98,115.75,123.88,55.41,90.61,219.82,191.89,35.76,6.23,98.91,1024.7,43.35,67.6,0.03,56.33,4.14,3.92
993.23,35.46,58.34,4.8,91.73,82.6,72.52,68.99,277.45,287.19,27.34,10.32,62.03,715.7,6.48,35.29,0.15,8.37,1.2,7.52
1080.71,11.01,68.27,6.97,145.94,121.62,112.79,70.31,495.68,22.49,46.46,11.86,95.04,549.28,3.22,58.89,0.91,96.57,8.87,6.33
1776.56,27.68,18.38,7.24,43.61,106.26,25.31,89.69,480.73,150.91,10.99,9.28,32.46,1458.05,17.86,46.49,0.61,39.07,4.08,3.04
1817.73,19.88,75.16,6.03,29.51,116.89,55.82,90.04,79.53,179.9,3.87,6.91,41.52,2312.67,40.55,32.34,0.24,82.43,1.66,5.74
1558.77,36.09,52.34,7.6,147.22,110.73,40.58,96.92,391.94,274.04,37.31,6.14,66.73,2722.03,49.22,1.85,0.71,35.92,4.28,9.25
1809.29,19.25,38.42,6.15,38.03,13.92,129.8,78.11,65.62,53.01,31.47,6.47,79.65,667.58,29.23,43.14,0.75,24,0.61,9.58
934.72,10.37,57.68,4.79,118.51,64.6,124.39,70.64,89.9,179.39,19.22,9.62,28.17,231.66,47.31,49.78,0.52,9.12,0.25,7.63
902.12,33.88,49,4.6,47.37,82.27,45.79,25.99,190.54,176.68,32.99,7.45,45.38,2114.72,45.97,72.25,0.74,33.69,2.7,7.62
1314.12,11.28,25.35,6.81,34.4,112.01,51.36,29.72,144.84,110.64,39.9,5.33,27.21,2532.11,2.79,29.02,0.44,39.26,3.64,4.11
462.95,15.34,52.36,7.07,44.36,108.75,63.64,65.7,126.57,34.42,11.29,6.14,90.5,1390.54,32.98,88.7,0.07,22.95,5.98,4.66
1538.65,27.3,12.65,6.1,93.28,44.29,44.88,89.1,299.64,47.78,10.4,8.22,45.61,1566.67,36.21,51.43,0.63,43.21,8.39,1.45
531.77,13.55,73.08,4.42,59.21,115.41,46.91,95.13,431.16,51.04,3,10.45,28.34,2669.44,4.63,60.29,0.83,53.67,1.53,4.3
1090.05,32.41,10.11,4.63,116.13,62.51,38.86,64.61,132.28,92.67,10.36,8.13,82.56,829.11,22.41,96.6,0.45,26.6,1.52,2.42
1059.9,26.53,53.86,4.94,18.19,34.2,88.77,17.08,250.89,92.97,29.83,9.17,54.94,1208.52,24.29,69.16,0.83,43.75,6.66,1.72
1190.35,10.82,26.63,6.16,40.77,94.49,41.65,32.34,51.67,298.51,13.62,11.82,60.89,1980.07,14.11,74.98,0.72,95.12,1.34,5.29
723.27,36.2,55.59,6.41,129.24,44.08,143.91,26.18,200.92,245.21,38.46,5.92,38.37,245.95,16.02,16.38,0.89,45.79,2.45,8.61
1462.28,17.42,25.11,4.46,67.77,55.18,16.34,73.38,375.43,47.45,45.75,9.31,44.89,214.16,21.25,76.79,0.76,31.19,9.99,6.48
1870.01,12.78,61.31,7.29,85.58,78,34.46,22.1,131.42,282.76,6.38,8.42,20.85,1409.86,6.54,18.21,0.25,12.26,1.14,1.41
934.94,18.04,62.07,4.68,87.31,37.02,138.16,38.06,36.12,221.38,12.46,6.2,78.69,1540.84,46.42,39.55,0.36,69.71,3.62,3.69
1243.58,29.56,41.77,8.84,39.74,30.84,130.63,87.53,387.24,229.25,32.12,9.15,50.6,2985.81,23.39,88.16,0.47,26.39,4.42,3.37
929.85,39.03,52.6,7.94,25.5,20.67,57.95,77.8,278.24,119.39,37.89,5.51,80.12,2536.73,10.74,44.78,0.78,3.49,5.89,9.4
991.15,34.65,58.02,4.16,93.34,88.21,11.22,25.67,409.23,163.61,11.21,7.41,96.36,1081.68,24.15,33.96,0.17,58.88,1.98,2.61
1024.88,24.34,22.55,6.35,75.37,83.12,89.2,75.62,266.87,237.36,16.86,11.91,39.17,1307.31,1.43,7.81,0.74,91.41,2.89,6.96
432.84,29.91,55.18,4.87,66.36,66.23,38.23,75.45,392.35,117.89,12.12,9.88,49.58,1588.8,40.19,61.1,0.8,68.97,3.6,5.72
1898.59,29.12,38.2,7.28,142.15,122.47,60.34,72.86,427.2,225.96,11.18,10.65,77.8,615.75,16.64,70.94,0.98,31.63,7.18,7.48
1547.07,22.71,69.61,6.2,54.16,24.36,69.4,36.38,85.36,217.44,33.3,7,97.11,2744.38,34.11,96.49,0.13,94.27,0.03,1.55
542.22,12.34,63.38,5.69,48.92,22.6,49.4,63.67,155.26,263.43,3.56,11.38,58.95,2277.24,0.73,25.5,0.72,29.24,6.23,5.11
408.52,31.91,25.22,6.01,149.18,14.61,98.27,55.4,21.72,117.36,38.24,10.98,99.07,38.41,22.75,30.36,0.95,63.26,7.44,2.72
660.22,15.98,48.1,5.39,109.43,37.65,68.52,56.14,333.76,24.18,13.71,8.01,58.49,2814.9,30.43,97.78,0.75,15.93,6.8,1.99
616.02,39.31,49.92,4.27,119.85,58.21,16.12,21.06,301.71,266.18,37.95,7.41,82.9,580.61,41.61,54.55,0.97,17.06,9.97,1.48
356.99,22.2,61.25,5.29,16.48,35.21,47.05,40.24,264.38,272.9,18.17,8.3,72.21,1916.86,7.77,80.59,0.59,13.66,4.55,4.51
1230.96,21.32,76.39,8.61,99.64,69.95,63.83,32.72,277.58,29.17,45.78,8.71,51.01,2451.33,19.08,81.04,0.32,49.3,9.47,9.02
1792.13,16.06,35.28,4.87,142.03,103.39,34.63,61.23,36.29,120.26,19.25,6.54,75.08,2333.69,18.96,79.75,0.54,47.61,1.49,2.25
1993.59,12.05,15.16,5.18,110.93,91.48,45.91,14.56,416.52,240.71,28.23,11.25,61.45,227.34,6.9,25.05,0.24,31.07,3.79,3.43
1432.89,11.51,16.02,7.43,52.17,55.22,56.19,45.34,394.5,189.6,4.81,9.2,48.8,1578.37,21.97,78.33,0.73,2.51,9.77,6.37
396.1,38.9,33.43,6.31,32.99,33.42,76.47,15.57,61.02,174.92,19.59,10.93,28.48,937.93,29.26,32.95,0.25,25.58,2.31,5.42
737.78,28.23,72.66,6.09,35.45,101.98,70.86,99.88,106.83,103.83,42.18,11.54,70.21,1538.59,18.28,93.18,0.69,20.94,3.81,4.35
1559.1,20.81,20.2,6.4,67.09,25.01,30.47,81.88,8.75,249.67,8.25,5.39,20.79,2730.85,26.45,2.88,0.21,21.46,8.68,4.21
1329.32,10.64,66.5,8.02,19.81,80.31,25.43,46.79,20.58,227.53,10.49,8.01,27.33,1651.5,15.63,72.21,0.97,50.47,5.09,1.63
1976.07,31.73,20.77,6.02,74.03,77.93,56.58,62.97,473.6,215.64,47.23,5.87,74.83,1374.94,13.59,47.79,0.22,73.47,7.2,9.4
229.94,39.76,16.35,5.86,103.21,11.53,141.53,72.23,71.29,114.45,7.04,5.07,22.93,1950.18,1.46,73.11,0.05,22.71,8.13,8.69
1396.63,26.32,74.71,7.27,144.16,48.2,145.32,76.94,352.69,11.36,10.53,9.11,90.5,123.85,16.06,3.79,0.03,61.44,8.53,3.18
546.41,31.59,18.65,5.51,21.68,21.27,18.78,66.21,78.88,32.43,24.23,6.24,58.53,1118.19,19.29,9.94,0.14,69.69,9.35,3.17
1040.66,27.97,36.8,7.51,26.77,58.31,146.76,83.89,333.3,235.42,32.56,7.17,68.38,1299.07,16.63,37.99,0.71,67.94,2.08,7.62
218.48,18.23,72.76,5.54,54.56,12.1,12.38,54.29,379.62,108.92,42.86,10.39,54.19,156.36,34.82,51.13,0.32,21.2,0.98,4.47
726.78,29.37,15.17,4.48,76.86,51.13,39.79,61.41,47.9,112.7,21.48,6.56,30.39,164.42,6.68,88.79,0.04,96.36,1.05,9.86
1022.89,29.97,71.6,8.06,123.54,111.25,25.19,77.26,15.07,84.5,3.31,10.53,93.32,1285.01,12.15,90.68,0.31,64.68,2.94,2.9
1268.57,10.25,56.67,4.77,48.03,24.82,12.02,94.07,431,161.71,15.45,8.15,28.02,1208.68,12.61,87.62,0.88,60.27,8.65,8.02
641.87,15.56,44.14,8.1,110.27,108.48,87.65,30.16,396.82,95.62,47.63,11.28,85.89,1297.24,7.57,93.14,0.81,37.82,3.95,7.31
1694.6,13.86,50.47,4.04,38.84,143.57,82.2,33.55,174.64,84.38,7.2,7.05,69.91,2280.1,44.1,29.32,0.24,71.05,2.46,7.71
1312.48,18.27,78.33,4.28,116.6,118.04,58.76,17.54,105.65,28.86,7.82,8.26,36.38,2613.98,21.19,33.39,0.58,75.67,5.97,7.16
1008.21,10.21,12.16,8.68,85.41,78.73,59.74,56.54,358.6,99.36,6.23,10.77,74.81,742.51,5.24,35.31,0.17,75.23,0.29,4.57
772.18,13.52,11.15,8.88,42.29,44.33,33.45,99.14,234.51,141.4,6.19,11.64,69.82,1668.18,34.79,73.44,0.96,10.22,4.16,4.52
1477.39,28.38,36.83,4.39,54.78,74.88,79.03,28.71,487.73,231.46,4.19,10.29,42.3,45.47,6.24,26.62,0.93,36.62,4.9,1.35
612.13,19.25,43.31,6.19,12.58,16.18,82.34,46.34,461.36,37.54,11.39,5.05,74.37,1026.2,21.56,95.04,0.09,12.11,9.78,1.57
405.07,24.98,22.18,6.45,81.05,86.88,120.21,68.43,286.91,118.74,42.94,6.4,59.28,1875.03,38.51,5.15,0.39,5.96,0.93,3.99
898.86,36.99,58.05,6.32,74.65,118.17,27.44,48.89,136.48,183.33,48.46,5.27,72.78,524,11.9,97.43,0.09,88.19,3.64,8.33
744.91,39.57,77.48,6.52,101.76,127.13,71.83,21.78,321.65,273.07,40.52,11.05,33.8,1511.01,26.85,59.17,0.35,29.6,9.59,8.9
815.97,38.65,48.74,8.96,58.8,63.62,104.12,98.23,72.48,34.28,22.39,9.11,54.18,261.95,22.79,13.2,0.88,77.67,8.37,9.3
953.57,22.48,73.55,8.28,100.8,21.49,114.03,47.75,496.05,82.26,21.29,7.58,35.25,89.62,2.79,49.11,0.14,41.3,0.24,3.5
475.57,28.44,21.26,4.39,130.49,56.35,100.55,67.88,343.29,216.85,43.16,11.05,74.16,339.43,24.37,74.94,0.11,14.52,8.04,7.89
1395.87,13.97,47.13,8.8,86.93,109.51,76.95,86.9,172.01,60.61,5.66,11.66,54.89,2085.65,26.81,82.29,0.66,6.16,5.23,9.94
306.81,11.03,65.05,4.13,120.17,96.33,105.42,67.45,432.08,222.71,18.65,11.45,60.65,536.15,3.79,14.26,0.65,96.51,0.19,6.05
703.28,12.78,63.65,7.01,45.29,48.18,138.69,71,6.72,232.1,14.87,11.46,21.18,2228.17,15.97,18.18,0.14,15.56,3.51,2.18
433.44,13.87,12.52,4.39,128.16,120.94,143.83,63.54,131.86,175.84,34.5,11.54,56.89,212.79,15.25,49.46,0.26,97.62,7.08,9.17
802.33,38.63,61.33,5.2,61.68,28.76,111.46,72.76,152.74,120.88,38.81,6.32,77.66,131.18,37.14,2.25,0.35,74.76,4.38,1.79
697.26,13,12.6,4.26,76.53,80.57,32.53,35.35,314.82,133.14,20.79,5.15,22.68,1219.52,43.07,85.48,0.45,68.44,6.33,8.34
1427.53,34.29,77.7,5.05,66.3,48.66,15.75,65.42,122.72,243.68,35.02,9.38,98.59,2961.15,45.55,1.23,0.44,77.28,0.58,2.81
1331.87,21.91,22.58,5.75,18.85,70.48,104.66,20.26,123.12,24.08,21.39,5.78,94.88,127.52,15.77,70.81,0.01,65.91,8.27,3.12
1447.28,36.46,47.77,5.82,23.15,26.5,19.54,54.66,14.62,161.33,19.32,10.98,50.44,1223.84,14.07,92.64,0.75,46.99,1.44,3.27
1222.98,26.66,19.32,4.03,124.81,91.02,58.61,27.32,444.36,116.07,10.56,5.66,45.53,2264.1,0.49,78.85,0.59,60.31,0.48,2.78
500.95,23.79,26.9,6.9,148.8,97.6,82.64,24.88,86.43,164.34,47.83,10.66,60.76,2992.8,23.04,70.71,0.09,79.85,1.23,6.06
1074.82,36.77,10.93,7.79,124.18,41.89,131.82,66.59,408.03,220.77,22.09,5.99,33.68,634.29,21.6,4.53,0.73,0.88,5.01,7.01
603.82,30.45,58.79,4.11,102.4,26,10.34,28.52,435.22,127.51,3.95,11,46.77,338.93,26.39,45.77,0.93,11.14,5.06,2.81
1812.96,37.73,11.01,7.32,88.55,18.8,59.68,99.8,132.48,181.23,12.15,8.52,91.5,1150.67,28.93,19.95,0.37,91.63,9.15,1.05
1032.59,11.09,28.75,7.48,24.1,68.08,120.15,84.11,100.76,288.03,24.38,6.69,45.87,112.94,39.04,98.65,0.4,58.08,9.37,2.85
